FACTOR = 0.95 MONTH_TO_PROMOTE = 6 RATE_AFTER_PROMOTION = 0.01 RATE_OF_NEW = 0.01
107 84
170 141 0.300699
233 187 0.401747
271 230 0.459016
281 232 0.364286
283 217 0.369565
274 220 0.372549
269 219 0.326667
277 220 0.384106
272 222 0.346667
271 216 0.331081
270 217 0.350649
277 226 0.392157
274 221 0.333333
272 218 0.342282
277 231 0.388158
279 224 0.345324
264 204 0.273973
261 216 0.343373
274 229 0.376623
290 234 0.432624
278 230 0.323529
278 215 0.342857
274 219 0.380645
263 214 0.291391
270 223 0.358974
287 224 0.435374
275 219 0.349315
273 213 0.357616
263 215 0.318471
269 235 0.348387
286 229 0.377778
276 227 0.333333
279 215 0.363636
262 215 0.303226
266 217 0.329032
282 228 0.424837
275 223 0.330986
274 225 0.346939
277 218 0.358621
276 228 0.381579
272 213 0.309859
280 215 0.426752
261 221 0.296774
282 229 0.409396
277 224 0.340426
270 219 0.315068
274 232 0.364238
275 227 0.311594
288 224 0.426573
269 210 0.308219
270 222 0.375
279 218 0.385135
268 216 0.328947
275 219 0.383117
268 224 0.324503
286 225 0.424658
268 218 0.296552
282 228 0.421053
276 226 0.338028
281 223 0.381944
273 226 0.340136
281 225 0.381944
273 223 0.331034
282 225 0.401361
279 230 0.372414
280 228 0.357143
274 221 0.323944
268 216 0.315436
277 234 0.396104
287 232 0.389706
275 225 0.311594
278 226 0.365517
273 222 0.326389
276 232 0.364865
284 213 0.376812
258 199 0.286624
256 206 0.333333
270 211 0.390244
268 217 0.358491
271 228 0.352941
284 236 0.394366
284 230 0.358209
277 231 0.335714
288 236 0.410072
279 236 0.320896
286 230 0.373134
271 223 0.292857
277 229 0.367347
283 227 0.382979
273 213 0.321678
269 220 0.356688
270 217 0.333333
270 215 0.346405
271 217 0.36129
266 208 0.320261
259 216 0.314815
294 232 0.506494
280 225 0.347826
268 215 0.296552
