FACTOR = 0.95 MONTH_TO_PROMOTE = 6 RATE_AFTER_PROMOTION = 0.01 RATE_OF_NEW = 0.01
107 82
172 141 0.3125
229 184 0.384279
265 217 0.435484
284 236 0.437908
281 217 0.335821
267 212 0.326797
254 210 0.265823
277 223 0.41875
281 226 0.394558
271 221 0.3125
273 217 0.348993
271 221 0.352941
268 211 0.315436
267 219 0.352201
282 227 0.417219
273 213 0.321678
269 211 0.356688
270 223 0.371069
274 227 0.346939
284 234 0.398601
278 222 0.323529
273 214 0.344595
267 210 0.339744
264 206 0.3375
274 226 0.414634
288 227 0.430556
268 222 0.286713
273 222 0.344595
276 223 0.364865
283 239 0.408163
284 220 0.343511
274 226 0.36
274 210 0.333333
262 216 0.325
274 218 0.376623
279 225 0.401316
272 228 0.324138
284 236 0.394366
292 233 0.41791
280 230 0.343066
283 223 0.378571
275 216 0.353741
269 214 0.344156
263 211 0.314103
265 219 0.339623
279 230 0.397351
276 221 0.328571
274 225 0.355705
274 223 0.337931
264 208 0.278912
264 220 0.345679
273 218 0.353333
270 223 0.342105
281 221 0.394558
271 215 0.33557
267 216 0.335484
279 221 0.409091
275 224 0.362416
271 230 0.321918
289 229 0.421429
275 223 0.326241
271 220 0.326531
272 221 0.346667
282 227 0.409396
269 222 0.293706
276 224 0.364865
278 235 0.369863
281 220 0.340741
271 225 0.34
274 224 0.337931
275 225 0.349315
282 224 0.393103
268 214 0.30137
280 234 0.423077
280 224 0.338235
280 223 0.383562
288 235 0.442177
283 228 0.355556
278 223 0.352113
268 228 0.306122
278 220 0.352113
273 211 0.353333
266 206 0.345912
263 224 0.347561
278 227 0.369863
272 220 0.314685
279 234 0.393333
284 224 0.367647
277 218 0.363014
267 214 0.322368
277 228 0.403846
277 222 0.34507
279 225 0.385135
276 221 0.351724
277 216 0.375839
267 223 0.331169
282 228 0.401361
279 226 0.359155
273 226 0.326389
