FACTOR = 0.95 MONTH_TO_PROMOTE = 6 RATE_AFTER_PROMOTION = 0.01 RATE_OF_NEW = 0.01
111 88
184 154 0.340426
241 195 0.402778
270 221 0.428571
278 233 0.38255
286 226 0.386861
276 228 0.347222
280 233 0.366197
280 217 0.343066
271 218 0.352941
272 218 0.355263
270 224 0.342105
281 231 0.390411
283 228 0.374101
277 228 0.34507
278 228 0.352113
280 227 0.366197
283 223 0.391608
264 218 0.278912
276 223 0.381579
270 225 0.319728
281 237 0.386207
285 230 0.360902
278 240 0.342857
283 217 0.330769
264 218 0.30719
281 226 0.414474
281 225 0.381944
279 208 0.372414
244 206 0.222222
267 227 0.371951
272 228 0.314685
291 238 0.443662
287 213 0.371212
257 217 0.280255
274 219 0.372549
277 224 0.384106
274 214 0.342466
266 207 0.333333
264 211 0.349693
276 226 0.408805
289 230 0.4375
281 221 0.364286
278 227 0.38255
274 218 0.328671
263 219 0.296053
274 232 0.364238
291 237 0.427536
276 230 0.293233
283 229 0.378571
282 224 0.375887
276 228 0.356164
268 218 0.28169
271 213 0.348684
277 226 0.407643
275 220 0.340278
279 226 0.393333
276 223 0.347222
277 219 0.367347
273 227 0.357616
273 219 0.321678
269 214 0.331126
269 225 0.352564
289 229 0.441379
271 218 0.297872
279 232 0.401316
272 220 0.289855
269 225 0.326667
283 226 0.4
271 218 0.3125
279 229 0.401316
270 216 0.29078
275 225 0.383117
277 220 0.358621
277 231 0.38
283 205 0.374101
254 196 0.29697
261 212 0.373563
268 203 0.35443
258 207 0.329341
264 220 0.349693
283 231 0.42
282 224 0.366906
277 211 0.363014
271 228 0.377358
285 233 0.401408
283 231 0.364964
282 238 0.366906
285 217 0.356061
263 209 0.300654
262 206 0.329193
270 218 0.390244
277 221 0.388158
266 219 0.302013
281 236 0.410596
290 224 0.402985
274 222 0.342466
274 218 0.351351
267 212 0.322368
274 217 0.392405
